year,kabupaten,kab_id,provinsi,prov_id,deforestasi_ha
2001,SERAM BAGIAN BARAT,ID-8106,MALUKU,ID-81,0.0
2001,SERAM BAGIAN TIMUR,ID-8105,MALUKU,ID-81,0.0
2001,SERANG,ID-3604,BANTEN,ID-36,0.0
2001,SERDANG BEDAGAI,ID-1218,SUMATERA UTARA,ID-12,0.0
2001,SERUYAN,ID-6207,KALIMANTAN TENGAH,ID-62,60.13729665907916
2001,SIAK,ID-1408,RIAU,ID-14,269.5034290161135
2001,SIDENRENG RAPPANG,ID-7314,SULAWESI SELATAN,ID-73,0.0
2001,SIDOARJO,ID-3515,JAWA TIMUR,ID-35,0.0
2001,SIGI,ID-7210,SULAWESI TENGAH,ID-72,0.0
2001,SIJUNJUNG,ID-1303,SUMATERA BARAT,ID-13,0.0
2001,SIKKA,ID-5307,NUSA TENGGARA TIMUR,ID-53,0.0
2001,SIMALUNGUN,ID-1208,SUMATERA UTARA,ID-12,0.0
2001,SIMEULUE,ID-1109,ACEH,ID-11,0.0
2001,SINJAI,ID-7307,SULAWESI SELATAN,ID-73,0.0
2001,SINTANG,ID-6105,KALIMANTAN BARAT,ID-61,1.5197557189941409
2001,SITUBONDO,ID-3512,JAWA TIMUR,ID-35,0.0
2001,SLEMAN,ID-3404,DAERAH ISTIMEWA YOGYAKARTA,ID-34,0.0
2001,SOLOK,ID-1302,SUMATERA BARAT,ID-13,0.0
2001,SOLOK SELATAN,ID-1311,SUMATERA BARAT,ID-13,677.7741425830263
2001,SOPPENG,ID-7312,SULAWESI SELATAN,ID-73,0.0
2001,SORONG,ID-9201,PAPUA BARAT DAYA,ID-96,0.0
2001,SORONG SELATAN,ID-9204,PAPUA BARAT DAYA,ID-96,0.0
2001,SRAGEN,ID-3314,JAWA TENGAH,ID-33,0.0
2001,SUBANG,ID-3213,JAWA BARAT,ID-32,0.0
2001,SUKABUMI,ID-3202,JAWA BARAT,ID-32,0.0
2001,SUKAMARA,ID-6208,KALIMANTAN TENGAH,ID-62,6.162831280517575
2001,SUKOHARJO,ID-3311,JAWA TENGAH,ID-33,0.0
2001,SUMBA BARAT,ID-5312,NUSA TENGGARA TIMUR,ID-53,0.0
2001,SUMBA BARAT DAYA,ID-5318,NUSA TENGGARA TIMUR,ID-53,0.0
2001,SUMBA TENGAH,ID-5317,NUSA TENGGARA TIMUR,ID-53,0.0
2001,SUMBA TIMUR,ID-5311,NUSA TENGGARA TIMUR,ID-53,0.0
2001,SUMBAWA,ID-5204,NUSA TENGGARA BARAT,ID-52,0.0
2001,SUMBAWA BARAT,ID-5207,NUSA TENGGARA BARAT,ID-52,0.0
2001,SUMEDANG,ID-3211,JAWA BARAT,ID-32,0.0
2001,SUMENEP,ID-3529,JAWA TIMUR,ID-35,0.0
2001,SUPIORI,ID-9119,PAPUA,ID-91,0.0
2001,TABALONG,ID-6309,KALIMANTAN SELATAN,ID-63,0.0
2001,TABANAN,ID-5102,BALI,ID-51,0.0
2001,TAKALAR,ID-7305,SULAWESI SELATAN,ID-73,0.0
2001,TAMBRAUW,ID-9209,PAPUA BARAT DAYA,ID-96,0.0
2001,TANAH BUMBU,ID-6310,KALIMANTAN SELATAN,ID-63,0.0
2001,TANAH DATAR,ID-1304,SUMATERA BARAT,ID-13,0.0
2001,TANAH LAUT,ID-6301,KALIMANTAN SELATAN,ID-63,0.0
2001,TANA TIDUNG,ID-6504,KALIMANTAN UTARA,ID-65,0.0
2001,TANA TORAJA,ID-7318,SULAWESI SELATAN,ID-73,0.0
2001,TANGERANG,ID-3603,BANTEN,ID-36,0.0
2001,TANGGAMUS,ID-1806,LAMPUNG,ID-18,0.0
2001,TANJUNG JABUNG BARAT,ID-1506,JAMBI,ID-15,43.43985505981445
2001,TANJUNG JABUNG TIMUR,ID-1507,JAMBI,ID-15,355.39452749088247
2001,TAPANULI SELATAN,ID-1203,SUMATERA UTARA,ID-12,142.54571267089884
2001,TAPANULI TENGAH,ID-1201,SUMATERA UTARA,ID-12,12.060399383544908
2001,TAPANULI UTARA,ID-1202,SUMATERA UTARA,ID-12,0.0
2001,TAPIN,ID-6305,KALIMANTAN SELATAN,ID-63,0.0
2001,TASIKMALAYA,ID-3206,JAWA BARAT,ID-32,0.0
2001,TEBO,ID-1509,JAMBI,ID-15,49.50588099257527
2001,TEGAL,ID-3328,JAWA TENGAH,ID-33,0.0
